File	Size	md5sum	Download_link
EP4_1.fastq.gz	6,960,579	53d0f6d3bc6156406956c339aa9fba97	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP4_1.fastq.gz
EP4_2.fastq.gz	10,001,509	ae0def4dc2706d6c9ebca7e2d35caf3c	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP4_2.fastq.gz
EP5_1.fastq.gz	8,616,772	91d9839d4572162c9eefba26d4c22ef4	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP5_1.fastq.gz
EP5_2.fastq.gz	11,670,350	71e8c4a7c0e6622b8155f165e297b24d	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP5_2.fastq.gz
EP2_1.fastq.gz	8,135,095	a5b138081bd50530a58c52d894c72317	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP2_1.fastq.gz
EP2_2.fastq.gz	11,287,533	39ac325911bc6bd606f384d95d33c557	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP2_2.fastq.gz
EP3_1.fastq.gz	6,856,589	8ff5bf13f3093bbf5518d5bd21668f21	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP3_1.fastq.gz
EP3_2.fastq.gz	9,942,378	4f3f92290a631b230b9b9923e1ca37eb	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP3_2.fastq.gz
EP1_1.fastq.gz	7,127,956	1ffa999fe357e0a67c8a518bec6ae207	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP1_1.fastq.gz
EP1_2.fastq.gz	9,914,533	e725523b677b25751ef634131eec6ce0	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EP1_2.fastq.gz
