Phylum,Taxonomy,Gum,Plaque,Mean Overall
Firmicutes_D,d__Bacteria;p__Firmicutes_D,29.743592570141498,36.24890716043304,32.99624986528727
Proteobacteria,d__Bacteria;p__Proteobacteria,25.761073789708593,21.48519650669766,23.623135148203126
Actinobacteriota,d__Bacteria;p__Actinobacteriota,15.909572912990976,20.403217009239928,18.156394961115453
Bacteroidota,d__Bacteria;p__Bacteroidota,10.708230386566472,9.196683064753937,9.952456725660205
Fusobacteriota,d__Bacteria;p__Fusobacteriota,7.465664142672158,5.065512833080203,6.2655884878761805
Firmicutes_A,d__Bacteria;p__Firmicutes_A,5.673102480034804,3.8663993473411713,4.769750913687988
Firmicutes_C,d__Bacteria;p__Firmicutes_C,1.5417441770082545,0.9805391517645415,1.261141664386398
Campylobacterota,d__Bacteria;p__Campylobacterota,1.4391738889530534,0.680727347349764,1.0599506181514087
Patescibacteria,d__Bacteria;p__Patescibacteria,1.3330585616949318,0.6583941405967154,0.9957263511458236
Desulfobacterota_I,d__Bacteria;p__Desulfobacterota_I,0.33767618885538553,0.8218335548629299,0.5797548718591576
Synergistota,d__Bacteria;p__Synergistota,0.0,0.41664535646923434,0.20832267823461717
Spirochaetota,d__Bacteria;p__Spirochaetota,0.047768529515844156,0.12194748464218076,0.08485800707901246
Unclassified*,d__Bacteria;__,0.03934237185802508,0.05399704276869618,0.046669707313360634
