Phylum,Taxonomy,healthy,onset,diseased,Mean Overall
Firmicutes_D,d__Bacteria;p__Firmicutes_D,25.764867236547136,21.786373464825925,47.37821225078817,31.643150984053744
Proteobacteria,d__Bacteria;p__Proteobacteria,26.46961567134363,26.277037066894223,18.27197473198343,23.672875823407097
Actinobacteriota,d__Bacteria;p__Actinobacteriota,20.619197837877856,18.149403942155647,17.99229377159695,18.920298517210153
Bacteroidota,d__Bacteria;p__Bacteroidota,10.610176190145978,15.763716578049273,5.624595487916911,10.666162752037387
Fusobacteriota,d__Bacteria;p__Fusobacteriota,5.12826050801297,8.191239423373432,5.146978665429998,6.155492865605467
Firmicutes_A,d__Bacteria;p__Firmicutes_A,5.94327398010947,5.46288094485827,2.7693317375513766,4.725162220839706
Firmicutes_C,d__Bacteria;p__Firmicutes_C,2.1964755032614054,0.13897380638158502,0.9388399787803999,1.091429762807797
Campylobacterota,d__Bacteria;p__Campylobacterota,1.2545228686147851,1.3911848172811958,0.429646213206511,1.0251179663674972
Patescibacteria,d__Bacteria;p__Patescibacteria,0.31383171460017134,1.02581057580183,1.2470058910009096,0.8622160604676371
Desulfobacterota_I,d__Bacteria;p__Desulfobacterota_I,1.0219556599057198,1.1030796669275322,0.1333683484545574,0.7528012250959365
Synergistota,d__Bacteria;p__Synergistota,0.45290833680448733,0.5325353265875739,0.0,0.32848122113068706
Spirochaetota,d__Bacteria;p__Spirochaetota,0.11692040723899504,0.1777643868635131,0.03715330073454545,0.11061269827901787
Unclassified*,d__Bacteria;__,0.10799408553739236,0.0,0.03059962255624173,0.046197902697878025
