Phylum,Taxonomy,healthy,onset,diseased,Mean Overall
Firmicutes_D,d__Bacteria;p__Firmicutes_D,29.708775490799542,25.729177635817212,50.99588090626548,35.47794467762741
Proteobacteria,d__Bacteria;p__Proteobacteria,29.427443699517887,31.12011072314423,19.055869601860046,26.53447467484072
Actinobacteriota,d__Bacteria;p__Actinobacteriota,22.119667919204655,19.010536848118697,18.374768895667444,19.83499122099693
Bacteroidota,d__Bacteria;p__Bacteroidota,5.47998496503494,10.931221424544773,3.014369109349041,6.475191832976251
Fusobacteriota,d__Bacteria;p__Fusobacteriota,5.743140327876993,7.89149353260383,5.231214887709107,6.288616249396643
Firmicutes_A,d__Bacteria;p__Firmicutes_A,4.8225466477510235,3.218631444130795,1.7787006563144137,3.2732929160654103
Firmicutes_C,d__Bacteria;p__Firmicutes_C,1.5188094766634817,0.0,0.6545512522633805,0.724453576308954
Campylobacterota,d__Bacteria;p__Campylobacterota,0.7140534500489579,1.3452539894722435,0.08659483554079185,0.7153007583539978
Patescibacteria,d__Bacteria;p__Patescibacteria,0.20532618023427368,0.4452955584193353,0.7751158465497974,0.4752458617344688
Desulfobacterota_I,d__Bacteria;p__Desulfobacterota_I,0.26025184286824204,0.3082788437488834,0.0,0.18951022887237515
Unclassified*,d__Bacteria;__,0.0,0.0,0.03293400848050718,0.010978002826835727
