Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Veillonella_A,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A,1.2528890616285968,0.0,0.903219721573375,0.7187029277339906
Campylobacteraceae* (f),d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;__,0.9743045426270146,0.632838624783284,0.16706274244023042,0.5914019699501764
Capnocytophaga_820690,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820690,0.7355524849926348,0.6547278582890392,0.33610591982071747,0.5754620877007971
Burkholderiales_592524* (o),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;__;__,0.6208716879028968,0.5967716249185893,0.4295835136086698,0.549075608810052
Peptoanaerobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Peptoanaerobacter,0.626716038358439,0.5531359885152204,0.4035582500999817,0.5278034256578804
Weeksellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Weeksellaceae;__,0.452789961303893,0.671037083600057,0.32719950099061224,0.48367551529818736
Alysiella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Alysiella,0.0,0.39069115263612064,0.9278745689096959,0.4395219071819388
Aerococcaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;__,0.42726620978524105,0.7808933421804356,0.0,0.4027198506552256
Prevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,0.552197953874488,0.16116874922308266,0.45567928216004044,0.38968199508587037
Proteiniphilum,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum,0.1728364447490149,0.9727693809602158,0.0,0.3818686085697436
Erysipelotrichaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,0.39201998158390083,0.6517033428672161,0.10096973958398212,0.3815643546783664
Porphyromonas_A_859424,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859424,0.39810585066850546,0.5083639554295085,0.22919832886378166,0.3785560449872652
Desulfobulbaceae* (f),d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__,0.4075357782539913,0.6246795496256216,0.09726591589537835,0.37649374792499707
Desulfovibrio_R_446353,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353,0.6144198816517285,0.47840011730191084,0.0,0.36427333298454645
Lactobacillales* (o),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;__;__,0.5175970376404887,0.48869596090502354,0.03039559871730573,0.34556286575427264
Actinomycetia* (c),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;__;__;__,0.2863561888750243,0.4313414099395031,0.3141465896306668,0.3439480628150647
CAJPSE01,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01,0.45290833680448733,0.5325353265875739,0.0,0.32848122113068706
Campylobacter_A,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A,0.21115607953545662,0.7340415746205148,0.031415717911985726,0.32553779068931904
Tannerellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.25595884778222694,0.5518956039685716,0.15442896564381567,0.3207611391315381
SDRW01,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__SDRW01,0.0,0.2912338909734372,0.6356466121582611,0.3089601677105661
Suttonella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella,0.18300983223462594,0.4981749023786616,0.07750877672912962,0.25289783711413905
Ga6A1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Ga6A1,0.0,0.521709524561329,0.2045415437608309,0.24208368944071998
Brooklawnia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia,0.1509315548946459,0.3131603177577234,0.23999193776863142,0.2346946034736669
Selenomonadaceae_42771* (f),d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;__,0.6605307094277221,0.0,0.019512195121951223,0.22668096818322445
Peptostreptococcus,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Peptostreptococcus,0.3197613188955793,0.29669700032934293,0.042886594766482614,0.21978163799713493
Saccharimonadales* (o),d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__,0.0,0.3428150674639385,0.2624057720246305,0.201740279829523
Clostridia_258483* (c),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__;__,0.4322707321581918,0.11575160331612702,0.0405896527393268,0.1962039960712152
Actinobacillus_B,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Actinobacillus_B,0.0,0.4625194405838444,0.12200905806918905,0.19484283288434448
Leptotrichia_A_993758,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;g__Leptotrichia_A_993758,0.2248818417441683,0.0,0.2824552079766176,0.1691123499069286
Parvimonas,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas,0.0,0.38482396128816954,0.11513187163353912,0.1666519443072362
Mitsuokella,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;g__Mitsuokella,0.28305573220508656,0.13897380638158502,0.01610806208507358,0.14604586689058172
Fusibacter_A,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Acidaminobacteraceae;g__Fusibacter_A,0.290435177944199,0.11013333385073283,0.020244410376173763,0.14027097405703517
HOT-345,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__HOT-345,0.15549186018247899,0.1923045108715467,0.07148617805533625,0.13976084970312067
UBA932* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;__,0.1800209880977925,0.1993440249099284,0.033507728879595966,0.13762424729577227
Alkanindiges,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Alkanindiges,0.1346568155148525,0.10062611806797854,0.08783258517950482,0.10770517292077862
F0428,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__F0428,0.0,0.07241610695060871,0.235846442769379,0.1027541832399959
Porphyromonas_A_859426,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859426,0.0,0.09090312025400603,0.18200925810672752,0.09097079278691118
Paraprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella,0.04838012685929453,0.21169348234951352,0.0,0.0866912030696027
Nanogingivalis,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis,0.077827880842135,0.12833428811746775,0.037537081703740025,0.0812330835544476
UBA10566,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA10566,0.0,0.2328578999783697,0.0,0.0776192999927899
Campylobacter_B,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B,0.0,0.0,0.2311677528542949,0.0770559176180983
Agathobacter_164119,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter_164119,0.22722101517997176,0.0,0.0,0.07574033839332392
Naumannella,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Naumannella,0.0,0.11180679785330949,0.09828498394408099,0.07003059393246348
Marseille-P3160,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Marseille-P3160,0.1662948567739295,0.04066948224620679,0.0,0.06898811300671209
H1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__H1,0.08547010066893065,0.10636633818238699,0.0,0.06394547961710588
Treponema_B_986141,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B_986141,0.0,0.15366074118710454,0.03715330073454545,0.06360468064055
Acidaminobacteraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Acidaminobacteraceae;__,0.0805240004786478,0.0650759219088937,0.03099447144663711,0.058864797944726203
Patescibacteria* (p),d__Bacteria;p__Patescibacteria;__;__;__;__,0.0,0.0,0.17520557838496703,0.05840185946165568
Lachnospirales* (o),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;__;__,0.014958863126402395,0.10949475989363366,0.031415717911985726,0.051956446977340594
Johnsonella,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella,0.0,0.0626118067978533,0.09307740239213362,0.05189640306332897
Limiplasma,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__Limiplasma,0.0,0.14077897700610043,0.006576178451178452,0.04911838515242629
Treponema_C,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_C,0.11692040723899504,0.024103645676408554,0.0,0.04700801763846787
Bacteria* (d),d__Bacteria;__;__;__;__;__,0.10799408553739236,0.0,0.03059962255624173,0.046197902697878025
Nanosyncoccus,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus,0.03922378199834847,0.0711228183754398,0.007588075880758807,0.03931155875151569
