Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Arachnia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia,0.9897813326219254,0.4162621488130013,0.24088654652787891,0.5489766759876018
Weeksellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Weeksellaceae;__,0.6117803665480283,0.6675997688795213,0.27188757942034925,0.517089238282633
F0058,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058,1.0321644719801635,0.3380423814328961,0.10554572337388425,0.491917525595648
Campylobacteraceae* (f),d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;__,0.41186256614062244,0.9279776393227402,0.08659483554079185,0.47547834700138486
Actinomycetia* (c),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;__;__;__,0.23801073904645595,0.34962661235573655,0.38136401472884995,0.32300045537701416
Peptoanaerobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Peptoanaerobacter,0.4579045433322454,0.2743151581057416,0.20340638025784413,0.31187536056527704
Tannerellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.28523951927625335,0.5775038410690678,0.03820965786821601,0.30031767273784576
SDRW01,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__SDRW01,0.0,0.3149335700419292,0.49043125803834503,0.26845494269342474
Campylobacter_A,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A,0.30219088390833543,0.4172763501495032,0.0,0.23982241135261287
Aerococcaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;__,0.25679519595448796,0.43006200406509903,0.0,0.22895240000652897
Proteiniphilum,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum,0.20669269874096682,0.36805990758935686,0.0,0.19158420211010788
Lactobacillales* (o),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;__;__,0.22677585660121075,0.34447422017365203,0.0,0.19041669225828758
Desulfobulbaceae* (f),d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__,0.26025184286824204,0.3082788437488834,0.0,0.18951022887237515
Ga6A1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Ga6A1,0.0,0.48520327780974304,0.07960433900006486,0.18826920560326932
Alloprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella,0.13153869684918937,0.1425661914460285,0.2138580114976879,0.16265429993096858
Alysiella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Alysiella,0.0,0.17543859649122806,0.2880983750548968,0.1545123238487083
Suttonella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella,0.09481668773704173,0.23539928486293205,0.10497715203161664,0.1450643748771968
