Genus,Taxonomy,Gum,Plaque,Mean Overall
Burkholderiales_592524* (o),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;__;__,0.9680238966839959,0.31571744897166304,0.6418706728278295
Capnocytophaga_820690,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820690,0.8140830589212664,0.4106341823093737,0.6123586206153201
Peptoanaerobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Peptoanaerobacter,0.7874066628885082,0.3766335586975324,0.5820201107930203
Prevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,0.654453563854381,0.2993691439783233,0.4769113539163522
Actinomycetia* (c),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;__;__;__,0.7001666439840954,0.14909665504357275,0.4246316495138341
Weeksellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Weeksellaceae;__,0.3168772167731927,0.5179550099021927,0.4174161133376927
SDRW01,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__SDRW01,0.5706471529381799,0.22731849240887694,0.3989828226735284
Porphyromonas_A_859424,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859424,0.4120089634206949,0.3219487819754466,0.3669788726980707
Tannerellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.5441743784016527,0.15227357116437282,0.34822397478301276
Erysipelotrichaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,0.3538961059716255,0.31672224999127474,0.3353091779814501
Desulfobulbaceae* (f),d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__,0.2790945545788514,0.3498485397794638,0.3144715471791576
Aerococcaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;__,0.2081054696703186,0.38847084940761684,0.2982881595389677
Lactobacillales* (o),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;__;__,0.282614946867925,0.31156534488491544,0.29709014587642024
Selenomonadaceae_42771* (f),d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;__,0.4557930083036156,0.11491240456902188,0.2853527064363187
Leptotrichia_A_993758,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;g__Leptotrichia_A_993758,0.5489174579723043,0.01956053987090044,0.28423899892160237
Brooklawnia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia,0.3816359942871898,0.15077128235417803,0.26620363832068394
Desulfovibrio_R_446353,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353,0.058581634276534136,0.4487763084382796,0.25367897135740686
Proteiniphilum,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum,0.13792738815439717,0.3648721643545288,0.25139977625446297
Ga6A1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Ga6A1,0.350036077867722,0.1427977836842906,0.2464169307760063
Campylobacter_A,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A,0.1628628703652641,0.3065001284644138,0.23468149941483896
Actinobacillus_B,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Actinobacillus_B,0.3731856658340309,0.05702707605026478,0.21510637094214785
Parvimonas,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas,0.42290095016324286,0.0,0.21145047508162143
CAJPSE01,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01,0.0,0.41664535646923434,0.20832267823461717
Suttonella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella,0.12201550107954283,0.2582438443243612,0.19012967270195202
Saccharimonadales* (o),d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__,0.16590652859952063,0.2081701132389088,0.1870383209192147
Peptostreptococcus,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Peptostreptococcus,0.07430678718890213,0.25626043403512844,0.1652836106120153
F0428,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__F0428,0.2703021907195661,0.042327370331463686,0.1563147805255149
Clostridia_258483* (c),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__;__,0.05218669637913446,0.2574752244062841,0.1548309603927093
Campylobacter_B,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B,0.2972156822412363,0.0,0.14860784112061814
HOT-345,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__HOT-345,0.17489105472893285,0.10493598535932734,0.1399135200441301
Alkanindiges,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Alkanindiges,0.18480340813649088,0.06732840775742625,0.12606590794695857
Fusibacter_A,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Acidaminobacteraceae;g__Fusibacter_A,0.10469519466274686,0.1452175889720995,0.12495639181742318
Mitsuokella,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;g__Mitsuokella,0.09447319152832236,0.1542799553864955,0.12437657345740893
UBA932* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;__,0.11875450706936998,0.1233682179760688,0.12106136252271939
Patescibacteria* (p),d__Bacteria;p__Patescibacteria;__;__;__;__,0.22526431506638617,0.0,0.11263215753319308
Naumannella,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Naumannella,0.20622840639475376,0.0,0.10311420319737688
Porphyromonas_A_859426,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859426,0.04425875709836279,0.12734197318157417,0.08580036513996848
Johnsonella,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella,0.164393665074067,0.0,0.0821968325370335
Nanogingivalis,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis,0.08020676157718275,0.06877521505540463,0.0744909883162937
Acidaminobacteraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Acidaminobacteraceae;__,0.08633283608060036,0.0402620002393239,0.06329741815996212
Agathobacter_164119,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter_164119,0.0,0.11361050758998588,0.05680525379499294
Treponema_B_986141,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B_986141,0.047768529515844156,0.054878836138251626,0.05132368282704789
Paraprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella,0.0,0.09979487855447353,0.04989743927723676
Marseille-P3160,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Marseille-P3160,0.0,0.09767224347489575,0.04883612173744788
JAACSU01,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__JAACSU01,0.07346133359127767,0.020644095788604457,0.047052714689941065
Bacteria* (d),d__Bacteria;__;__;__;__;__,0.03934237185802508,0.05399704276869618,0.046669707313360634
UBA10566,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA10566,0.014375159723996934,0.07597595584456214,0.045175557784279535
Catenisphaera,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera,0.029081978867095355,0.060091017135140916,0.044586498001118136
Lachnospirales* (o),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;__;__,0.04039163731541022,0.04658470295378465,0.04348817013459744
H1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__H1,0.0,0.08072302825674639,0.040361514128373195
Nanosyncoccus,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus,0.04268141519345159,0.02855023874559331,0.03561582696952245
Tannerella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,0.06721862003251822,0.0,0.03360931001625911
Treponema_C,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_C,0.0,0.06706864850392914,0.03353432425196457
CAG-238,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238,0.061022697826173464,0.0,0.030511348913086732
Limiplasma,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__Limiplasma,0.0,0.05450574936365059,0.027252874681825294
Nigerium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Nigerium,0.04937584989797066,0.0,0.02468792494898533
UBA9076,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA9076,0.03462871308153823,0.013407521619628613,0.024018117350583422
Acetoanaerobium,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Acetoanaerobium,0.0,0.043765122790937645,0.021882561395468823
Acinetobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Acinetobacter,0.041032248599580066,0.0,0.020516124299790033
Oscillospiraceae_88309* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;__,0.0,0.03498707975872545,0.017493539879362724
W11650,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Vallitaleaceae_A_116062;g__W11650,0.03449588453598077,0.0,0.017247942267990386
Cryptobacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides,0.0,0.03034570564601929,0.015172852823009645
Anaerovoracaceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;__,0.0,0.02797854936933756,0.01398927468466878
Aliarcobacter,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter,0.0,0.026273484910715187,0.013136742455357594
Tenuifilaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tenuifilaceae;__,0.0,0.02364448083505868,0.01182224041752934
Desulfobulbus_A_451156,d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A_451156,0.0,0.023208706645186518,0.011604353322593259
Wolinella,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Wolinella,0.0,0.016937858985940607,0.008468929492970304
Burkholderiaceae_A_595425* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595425;f__Burkholderiaceae_A_595425;__,0.0,0.012761453886158994,0.006380726943079497
Peptostreptococcales* (o),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;__;__,0.006462661970465635,0.00388621172081455,0.005174436845640092
Flavobacteriaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;__,0.0031944799386659853,0.0032281668316618607,0.0032113233851639228
